[0000001184ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001200ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cb8
[0000001214ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cb4
[0000001228ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001252ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cbc
[0000001268ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cb8
[0000001284ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001300ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cc0
[0000001316ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cbc
[0000001328ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001344ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cc4
[0000001364ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cc0
[0000001378ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001394ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cc8
[0000001406ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cc4
[0000001428ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001444ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002ccc
[0000001460ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002cc8
[0000001476ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001504ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002cd0
[0000001522ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002ccc
[0000001546ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000001576ns] mycpu : pc = 1c0000a4, inst = 5401a000, reg = 01, val = 1c0000a8
[0000001604ns] mycpu : pc = 1c000244, inst = 1438000c, reg = 12, val = 1c000000
[0000001616ns] mycpu : pc = 1c000248, inst = 038e018c, reg = 12, val = 1c000380
[0000001632ns] mycpu : pc = 1c00024c, inst = 0400302c, reg = 12, val = 00000000
[0000001662ns] mycpu : pc = 1c000250, inst = 4c000020, reg = 00, val = 1c000254
[0000001698ns] mycpu : pc = 1c0000a8, inst = 5401ac00, reg = 01, val = 1c0000ac
[0000001724ns] mycpu : pc = 1c000254, inst = 1dc8006c, reg = 12, val = 00003254
[0000001756ns] mycpu : pc = 1c000258, inst = 28a8118c, reg = 12, val = 1c0003b0
[0000001758ns] mycpu : pc = 1c00025c, inst = 1dc8006d, reg = 13, val = 0000325c
[0000001792ns] mycpu : pc = 1c000260, inst = 28a701ad, reg = 13, val = 00001000
[0000001796ns] mycpu : pc = 1c000264, inst = 028001af, reg = 15, val = 00001000
[0000001804ns] mycpu : pc = 1c000268, inst = 0380800e, reg = 14, val = 00000020
[0000001828ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001000
[0000001840ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001004
[0000001854ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001f
[0000001866ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000001894ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001004
[0000001906ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001008
[0000001924ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001e
[0000001948ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000001968ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001008
[0000001982ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000100c
[0000002006ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001d
[0000002028ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002042ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000100c
[0000002054ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001010
[0000002082ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001c
[0000002098ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002114ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001010
[0000002126ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001014
[0000002156ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001b
[0000002174ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002192ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001014
[0000002206ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001018
[0000002218ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000001a
[0000002230ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002246ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001018
[0000002260ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000101c
[0000002280ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000019
[0000002292ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002318ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000101c
[0000002334ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001020
[0000002354ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000018
[0000002370ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002384ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001020
[0000002398ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001024
[0000002416ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000017
[0000002430ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002448ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001024
[0000002462ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001028
[0000002474ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000016
[0000002488ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002500ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001028
[0000002520ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000102c
[0000002548ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000015
[0000002566ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002590ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000102c
[0000002610ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001030
[0000002624ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000014
[0000002638ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002652ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001030
[0000002666ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001034
[0000002688ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000013
[0000002702ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002718ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001034
[0000002732ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001038
[0000002750ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000012
[0000002762ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002778ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001038
[0000002792ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000103c
[0000002806ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000011
[0000002822ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002834ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000103c
[0000002854ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001040
[0000002868ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000010
[0000002886ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002904ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001040
[0000002916ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001044
[0000002932ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000f
[0000002948ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000002960ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001044
[0000002976ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001048
[0000002992ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000e
[0000003008ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003024ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001048
[0000003036ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000104c
[0000003050ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000d
[0000003062ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003078ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000104c
[0000003090ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001050
[0000003114ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000c
[0000003126ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003146ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001050
[0000003168ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001054
[0000003184ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000b
[0000003200ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003212ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001054
[0000003226ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001058
[0000003246ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 0000000a
[0000003258ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003272ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001058
[0000003300ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000105c
[0000003322ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000009
[0000003336ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003350ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000105c
[0000003364ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001060
[0000003376ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000008
[0000003392ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003408ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001060
[0000003420ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001064
[0000003440ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000007
[0000003452ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003472ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001064
[0000003486ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001068
[0000003500ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000006
[0000003516ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003534ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001068
[0000003546ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000106c
[0000003574ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000005
[0000003592ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003606ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000106c
[0000003626ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001070
[0000003642ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000004
[0000003656ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003670ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001070
[0000003682ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001074
[0000003714ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000003
[0000003726ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003746ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001074
[0000003762ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001078
[0000003774ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000002
[0000003792ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003804ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001078
[0000003820ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 0000107c
[0000003834ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000001
[0000003846ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003860ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 0000107c
[0000003872ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001080
[0000003890ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = 00000000
